~~UID;Название;"Название на странице";Остаток;Цена;"Старая цена"
~~;"Международный стандарт рельс DIN 536"
00011765974_7;"Рельсы А100 DIN 536";"Рельсы А100 DIN 536";0;20100;0
00011765974_9;"Рельсы А120 DIN 536";"Рельсы А120 DIN 536";0;28000;0
00011765974_8;"Рельсы А150 DIN 536";"Рельсы А150 DIN 536";0;0;0
00011765974_3;"Рельсы А45  DIN 536";"Рельсы А45 DIN 536";0;6000;0
00011765974_4;"Рельсы А55 DIN 536";"Рельсы А55 DIN 536";0;8600;0
00011765974_5;"Рельсы А65 DIN 536";"Рельсы А65 DIN 536";0;11700;0
00011765974_6;"Рельсы А75 DIN 536";"Рельсы А75 DIN 536";0;14100;0
~~;"Крепеж железнодорожный"
00011769862;"Гайка стыковая М22";"Гайка стыковая М22";0;0;0
00011769863;"Гайка стыковая М24";"Гайка стыковая М24";0;0;0
00011769864;"Гайка стыковая М27";"Гайка стыковая М27";0;0;0
00011769865;"Клемма ПК";"Клемма ПК";0;0;0
00011769867;"Комплект планок Упорная У-1, П1";"Комплект планок Упорная У-1, П1";0;990;0
00011769873;"Шайба 2-х витковая";"Шайба 2-х виткова";0;0;0
00011769874;"Шайба стыковая М22";"Шайба стыковая М22";0;0;0
00011769875;"Шайба стыковая М24";"Шайба стыковая М24";0;0;0
00011769876;"Шайба стыковая М27";"Шайба стыковая М27";0;0;0
~~;"Болты стыковые"
00011769847;"БГШ 22 (клеммный)";"БГШ 22 (клеммный)";0;0;0
00011769848;"БГШ 22 (стыковой)";"БГШ 22 (стыковой)";0;0;0
00011769849;"БГШ 24 (стыковой)";"БГШ 24 (стыковой)";0;0;0
00011769850;"БГШ 27 (стыковой)";"БГШ 27 (стыковой)";0;0;0
00011769855;"Болт М24х110 в сборе";"Болт клеммный М24х110 в сборе";0;0;0
00011769856;"Болт М24х90 в сборе";"Болт М24";0;0;0
00011769858;"Болт стыковой М18х88 в сборе";"Болт стыковой М18х88 в сборе";0;0;0
00011769857_1;"Болт стыковой М18 ";"Болт стыковой М18 ";0;0;0
00011769857_3_1;"Бoлт cтыкoвoй M22x115 в cбope c гaйкoй и шaйбoй cтыкoвoй M22";"Бoлт cтыкoвoй M22x115 в cбope c гaйкoй и шaйбoй cтыкoвoй M22";0;0;0
00011769859;"Болт стыковой М22х135 свободный";"Болт стыковой М22х135 свободный";0;0;0
00011769859_1;"Болт стыковой М22х135 в cбope c гaйкoй и шaйбoй cтыкoвoй M22";"Болт стыковой М22х135 в cбope c гaйкoй и шaйбoй cтыкoвoй M22";0;0;0
00011769860;"Болт стыковой М24х150 свободный";"Болт стыковой М24х150 свободный";0;0;0
00011769860_1;"  Бoлт cтыкoвoй M24x150 c гaйкoй M24";" Бoлт cтыкoвoй M24x150 c гaйкoй M24";0;0;0
00011769860_2;"Бoлт cтыкoвoй M24x150 в cбope c гaйкoй и шaйбoй cтыкoвoй M24";"Бoлт cтыкoвoй M24x150 в cбope c гaйкoй и шaйбoй cтыкoвoй M24";0;0;0
00011769861;"Болт стыковой М27х160 свободный";"Болт стыковой М27х160 свободный";0;0;0
00011769861_1;"Бoлт cтыкoвoй M27x160 c гaйкoй M27";"Бoлт cтыкoвoй M27x160 c гaйкoй M27";0;0;0
00011769861_2;" Бoлт cтыкoвoй M27x160 в cбope c гaйкoй M27 и шaйбoй cтыкoвoй M27";" Бoлт cтыкoвoй M27x160 в cбope c гaйкoй M27 и шaйбoй cтыкoвoй M27";0;0;0
00011769861_2_1;"Бoлт cтыкoвoй M27x160 уcилeнный c гaйкoй и шaйбaми для Aпaтэк";"Бoлт cтыкoвoй M27x160 уcилeнный c гaйкoй и шaйбaми для Aпaтэк";0;0;0
00011769861_3;" Бoлт cтыкoвoй M27x160 уcилeнный c гaйкoй для Aпaтэк";" Бoлт cтыкoвoй M27x160 уcилeнный c гaйкoй для Aпaтэк";0;0;0
~~;"Костыль путевой"
00011769868;"Костыль путевой 14х14х130";"Костыль путевой 14х14х130";0;0;0
00011769868_1;"Костыль путевой 16х16х165";"Костыль путевой 16х16х165";0;146000;0
00011769868_2;"Костыль пучинный 16х16х230";"Костыль пучинный 16х16х230";0;0;0
~~;"Болты закладные"
00011769846;"Болт закладной М22х175 с гайкой";"Болт закладной М22х175 с гайкой";0;0;0
00011769851_1;"Бoлт зaклaднoй M22x225 cвoбoдный";"Бoлт зaклaднoй M22x225 cвoбoдный";0;0;0
00011769851;"Болт закладной М22х175";"Болт закладной М22х175";0;0;0
00011769852;"Болт закладной М22х175 в сборе";"Болт закладной М22х175 в сборе";0;0;0
~~;"Шурупы путевые"
00011769877;"Шуруп ЦП54  М24х195";"Шуруп ЦП54  М24х195";0;0;0
00011769877_1;"Шуруп путевой 24х170";"Шуруп путевой 24х170";0;0;0
~~;"Болты клеммные"
00011769853;"Болт клеммный М22х75 свободный";"Болт клеммный М22х75 свободный";0;0;0
00011769854;"Болт клеммный М22х75 с гайкой";"Болт клеммный М22х75 с гайкой";0;0;0
00011769854_1;"Болт клеммный М22х75 в сборе с гайкой шайбой М25 и клеммой ПК";"Болт клеммный М22х75 в сборе с гайкой шайбой М25 и клеммой ПК";0;0;0
00011769854_2;"Бoлт клeммный M22x75 c гaйкoй и шaйбoй M25";"Бoлт клeммный M22x75 c гaйкoй и шaйбoй M25";0;0;0
~~;Противоугон
00011769870;"Противоугон П 43";"Противоугон П 43";0;0;0
00011769871;"Противоугон П 50";"Противоугон П 50";0;135000;0
00011769872;"Противоугон П 65";"Противоугон П 65";0;129000;0
~~;"Накладки рельсовые"
00011766153;"Накладка 1Р-50 новая";"Накладка 1Р-50";0;0;0
00011766153_1;"Накладка 1Р-50 ГОСТ 19128-73 с хранения";;0;3390;0
00011766153_1_1_1;"Накладка 1Р-50 ГОСТ 19128-73 восстановленная";;0;2850;0
00011766153_1_1;"Накладка 1Р-50 ГОСТ 19128-73 старогодная";"Накладка 1Р-50 б/у";0;1700;0
00011766138_1;"Накладка 1Р-65 ГОСТ 8193-73 хранение";;0;0;0
00011766138_1_1_1;"Накладка 1Р-65 ГОСТ 8193-73 восстановленная";;0;0;0
00011766138_1_1;"Накладка 1Р-65 ГОСТ 8193-73 старогодная";"Накладка 1Р-65 б/у";0;0;0
00011766138;"Накладка 1Р-65 новая";"Накладка 1Р-65";0;8800;0
00011766138_3;"Накладка 1Р-65 новая";"Накладка 1Р-65";0;8800;0
00011766140;"Накладка Р-18 ГОСТ 8141-56 новая";"Накладка Р-18";0;0;0
00011766140_1;"Накладка Р-18 ГОСТ 8141-56 хранение";;0;0;0
00011766140_1_1_1;"Накладка Р-18 ГОСТ 8141-56 восстановленная";;0;0;0
00011766140_1_1;"Накладка Р-18 ГОСТ 8141-56 старогодная";"Накладка Р-18 б/у";0;0;0
00011766142;"Накладка Р-33 ТУ УДП 14-2-1214-98 новая";"Накладка Р-33";0;0;0
00011766142_1;"Накладка Р-33 ТУ УДП 14-2-1214-98 хранение";;0;0;0
00011766142_1_1_1;"Накладка Р-33 ТУ УДП 14-2-1214-98 восстановленная";;0;0;0
00011766142_1_1;"Накладка Р-33 ТУ УДП 14-2-1214-98 старогодная";"Накладка Р-33 б/у";0;0;0
00011766149;"Накладка Р-43 ГОСТ 8193-73 новая";"Накладка Р-43";0;0;0
00011766149_1;"Накладка Р-43 ГОСТ 8193-73 хранение";;0;0;0
00011766149_1_1_1;"Накладка Р-43 ГОСТ 8193-73 восстановленная";;0;0;0
00011766149_1_1;"Накладка Р-43 ГОСТ 8193-73 старогодная";"Накладка Р-43 б/у";0;0;0
00011766208;"Накладка рельсового стыка КР 70  (РС3)";"Накладка рельсового стыка КР-70";0;700;0
00011766208_1;"Накладка рельсового стыка КР 80  (РС3)";"Накладка рельсового стыка КР-80";0;700;0
00011766210;"Накладка рельсового стыка КР100 (РС4) ";"Накладка рельсового стыка КР100 (РС4) ";0;0;0
00011766209;"Накладка рельсового стыка РС-5 (для КР 120)";"Накладка рельсового стыка РС-5 (для КР 120)";0;0;0
~~;"Прокладки резиновые"
00011769878;"Прокладка подрельсовая ЦП-143 ";"Прокладка подрельсовая ЦП-143 ";0;0;0
00011769880;" Прокладка подрельсовая ЦП-74, ЦП-318, ЦП-356 ";" Прокладка подрельсовая ЦП-74, ЦП-318, ЦП-356 (на КБ-65) ";0;0;0
00011769881;"Прокладка нашпальная ЦП-328";"Прокладка нашпальная ЦП-328 (под КБ-65)";0;0;0
00011769881_1;" Прокладка нашпальная СП-487, ЦП-487";" Прокладка нашпальная СП-487, ЦП-487 (под КБ-65) ";0;0;0
00011769881_2;" Прокладка нашпальная ЦП-67";" Прокладка нашпальная ЦП-67 (под Д-65) ";0;0;0
00011769881_3;"Прокладка ЦП-363 ";"Прокладка ЦП-363 (на КД-65)";0;0;0
00011769881_4;"Прокладка ЦП-361 ";"Прокладка ЦП-361 (под КД-65)";0;0;70
00011769881_5;"Прокладка нашпальная ЦП-362 ";"Прокладка нашпальная ЦП-362 (под Д-65)";0;0;71
00011769881_6;"Прокладка нашпальная ОП-68-74";"Прокладка нашпальная ОП-68-74 (под Д-50)";0;0;71
~~;Подкладки
00011766314;"Подкладка Р18";"Подкладки костыльного скрепления к железнодорожным рельсам типа Р18";0;0;0
00011766313;"Подкладка Р24 ";"Подкладки костыльного скрепления к железнодорожным рельсам типа Р24";0;0;0
00011766312;"Подкладка Р33";"Подкладки костыльного скрепления к железнодорожным рельсам типа Р33";0;0;0
00011766332;"Подкладка ДН 50 новая";"Подкладка ДН50";0;0;0
00011766331;"Подкладка ДН 65 новая";"Подкладка ДН65";0;0;0
00011766304;"Подкладка Д-43 новая";"Подкладка Д-43";0;0;0
00011766305;"Подкладка Д-50 новая";"Подкладка Д-50";0;0;0
00011766306;"Подкладка Д-65 новая";"Подкладка Д-65";0;0;0
00011766307;"Подкладка КБ-50 новая";"Подкладка КБ50";0;0;0
00011766309;"Подкладка КБ-65 новая";"Подкладка КБ-65";0;0;0
00011766310;"Подкладка КД-50 новая";"Подкладка КД50";0;0;0
00011766311;"Подкладка КД-65 новая";"Подкладка КД-65";0;0;0
